,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
110,Money Trees,"Kendrick Lamar, Jay Rock",1093605526,695,458,E,Minor,-0.5898592895097968,-0.7876653578662024,-1.4638715293860611,-1.3247038235423572,3.3703700760713406,0.9528665785029304,0.08289400497500041,1.2724387815699103,-0.4796985587055143,0.8485289451637964,0.1746571860637294,-0.7542227625952649,-0.9988938106933223,-0.7534393252507667,-0.1352189508835078,0.12129914656548293,-0.2244110446116214
112,LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",39058561,4,184,B,Major,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,0.8423639296044605,-0.6086253212534984,0.25134417477311843,-0.7347777628193238,1.1331545404418293,-0.16883800202885596,-0.19358255643591088,0.40597326182373145,1.073429299538809,-0.35995560344466454,0.41557673364165265,0.1432253361331892,-0.2818863352928837,-0.8321793990542204
117,Rara Vez,"Taiu, Milo j",248088961,24,88,F,Minor,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,-0.6023479058267514,-0.48434683106249676,1.2535190372442786,-0.5273088068118088,-0.5183586043625624,-0.013407723690526783,-0.04470948477880985,0.945710771930403,1.8131932294502198,0.27898260380399315,-0.2588556080270508,-0.1352189508835078,0.994867690591944,0.38335730983097766
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,47,203,B,Minor,1.2026257358937609,0.31609199953442124,-0.3119122869024982,-0.1895730957035479,-0.454430691507537,1.0530840647500466,-0.2710236258613489,0.1780626012778437,0.7637436680011191,0.21581839062111696,0.7915000547570682,1.5085845524278743,1.2728864817463497,-0.8883257935845074,-0.1352189508835078,0.25569430718493846,-0.5717072471502495
120,LUNA,"Junior H, Peso Pluma",55842345,8,74,A,Minor,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,0.8423639296044605,-0.5873416995800694,-0.09941702709178761,-0.5273088068118088,1.3520297765002425,-0.32426828036718514,0.2530366585353922,0.25176254465039677,1.073429299538809,-0.2889624693059248,0.41557673364165265,-0.1352189508835078,-0.2818863352928837,-0.7453553484195634
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",211050784,246,638,A,Major,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,-0.3959605007651496,0.1447851186828498,1.7546064684798586,1.2056671786627293,1.3122342790350763,0.9191739463394484,0.8113106772495211,-0.5963963998029441,-1.015315914328704,1.4148727500238292,-0.8883257935845074,0.9785581971832802,-0.7522693974609781,-0.7453553484195634
123,Que Vuelvas,"Carin Leon, Grupo Frontera",2762,21,71,A#,Major,-0.5898592895097968,0.21575042158891,1.7040163874437368,-0.49915420329595045,-0.5036955780383413,0.6522141197615825,-0.5029006943403364,1.2127455353721612,0.9191739463394484,1.5184577676207511,-1.7529767786029544,1.0299137742499025,-0.21796933516718506,-0.21389345191580392,-0.1352189508835078,-0.5506766565317948,-0.7453553484195634
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",1953533826,"6,551",0,D,Major,1.2026257358937609,-0.8880069358117135,0.5520571449601739,0.22320171441965544,0.28677515418250926,1.9550414409740906,1.6938294280921766,-0.10050588097831874,-0.16883800202885596,0.9229654809923469,-0.6735017583896115,1.4650690271389677,1.8408315548562675,-0.9332879496957542,-0.1352189508835078,-0.6178742368415225,-0.39805914588093544
128,lovely - Bonus Track,"Billie Eilish, Khalid",2355719893,"1,078",136,E,Minor,-0.5898592895097968,-0.28595746813864614,0.5520571449601739,-0.29276679823434876,1.6200526573334,0.8526490922558144,1.9379105528069003,0.9341770531159989,-0.16883800202885596,-0.23080082435018615,-2.8324517988162974,-1.842110894817928,-2.6317358958843364,3.1133061003164664,-0.1352189508835078,-0.6178742368415225,-0.8321793990542204
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",66902503,32,88,B,Major,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,0.7391702270736596,-0.48762123439687044,0.9528665785029304,-0.45408446939739167,0.19796035001042672,0.29745283298613157,0.2530366585353922,0.48307862041039884,0.20311879376067854,-0.1469762010284453,-0.618552856917026,-0.1352189508835078,0.4572870481141218,-0.6585312977849064
